iter	Passed	Remaining
0	100	100131
1	102	50945
2	103	34493
3	105	26216
4	106	21248
5	108	17944
6	109	15575
7	113	14074
8	115	12741
9	117	11681
10	119	10771
11	121	10011
12	124	9421
13	130	9212
14	132	8722
15	134	8273
16	136	7877
17	137	7521
18	139	7196
19	142	6995
20	144	6733
21	146	6500
22	147	6283
23	149	6077
24	150	5888
25	152	5713
26	153	5547
27	156	5425
28	158	5303
29	160	5175
30	161	5050
31	163	4933
32	164	4822
33	166	4718
34	167	4618
35	169	4527
36	172	4499
37	174	4416
38	175	4336
39	177	4257
40	178	4184
41	180	4115
42	181	4048
43	183	3983
44	187	3979
45	189	3927
46	191	3879
47	193	3829
48	194	3779
49	196	3740
50	198	3693
51	201	3679
52	203	3634
53	204	3590
54	206	3547
55	207	3505
56	209	3463
57	210	3426
58	212	3387
59	214	3354
60	216	3330
61	217	3297
62	219	3262
63	220	3229
64	222	3197
65	223	3167
66	225	3139
67	227	3111
68	228	3082
69	231	3076
70	233	3050
71	234	3023
72	236	2998
73	237	2974
74	239	2953
75	240	2929
76	242	2905
77	243	2881
78	246	2874
79	248	2854
80	249	2832
81	251	2811
82	251	2782
83	253	2762
84	254	2742
85	256	2723
86	257	2705
87	259	2685
88	261	2680
89	263	2661
90	264	2645
91	266	2628
92	267	2612
93	269	2595
94	270	2579
95	272	2563
96	273	2547
97	276	2545
98	278	2533
99	280	2523
100	282	2511
101	283	2498
102	285	2488
103	287	2477
104	289	2464
105	291	2462
106	293	2451
107	295	2438
108	296	2424
109	297	2410
110	299	2398
111	301	2387
112	302	2375
113	304	2364
114	307	2363
115	308	2351
116	309	2337
117	311	2326
118	312	2314
119	314	2304
120	315	2293
121	316	2280
122	318	2269
123	319	2259
124	322	2257
125	324	2248
126	325	2236
127	326	2226
128	328	2217
129	329	2207
130	331	2197
131	332	2188
132	334	2178
133	336	2176
134	338	2169
135	340	2161
136	341	2152
137	343	2143
138	344	2135
139	346	2126
140	347	2117
141	348	2106
142	350	2098
143	353	2098
144	354	2090
145	356	2082
146	357	2075
147	358	2066
148	360	2058
149	362	2051
150	363	2044
151	365	2036
152	368	2039
153	369	2032
154	371	2024
155	372	2017
156	374	2010
157	375	2003
158	377	1996
159	378	1989
160	379	1979
161	381	1975
162	384	1973
163	386	1968
164	387	1962
165	389	1957
166	391	1951
167	393	1947
168	395	1942
169	398	1943
170	399	1938
171	401	1932
172	402	1925
173	404	1919
174	405	1913
175	407	1907
176	408	1901
177	410	1894
178	412	1892
179	414	1888
180	416	1882
181	417	1876
182	418	1870
183	420	1864
184	422	1859
185	423	1854
186	425	1851
187	430	1857
188	432	1854
189	434	1852
190	436	1849
191	438	1844
192	439	1839
193	441	1833
194	444	1833
195	445	1827
196	446	1821
197	448	1816
198	449	1810
199	451	1804
200	452	1799
201	453	1793
202	455	1787
203	456	1782
204	459	1781
205	460	1776
206	462	1770
207	463	1766
208	465	1761
209	466	1756
210	468	1751
211	469	1746
